Content Manifest for Depot 2347770

Manifest ID / date     : 5002689339188222421 / 12/19/2024 22:39:40
Total number of files  : 2656
Total number of chunks : 49229
Total bytes on disk    : 47577462591
Total bytes compressed : 39022505328

          Size Chunks File SHA                                 Flags Name
             9      1 BB6A42AF759A2D2A3F913691BB38F4D60B1030C1     0 game/bin/built_from_cl.txt
         13996      1 EEB7EE456B945679A91861E06F42ADE1874C8E07     0 game/bin/win64/csgo.signatures
          6600      1 CDF506ABE41900CACDDFFB5869865074B272C904     0 game/bin/win64/vpk.signatures
         54015      1 E01F0543512E6C0FE0036284E39A074ED4EC0A6C     0 game/core/cfg/sfm_default_animation_groups.vcfg
          2270      1 AB4E0EE92367BA6D28A89DAE8F6000631FFDB641     0 game/core/cfg/user_keys_default.vcfg
          2468      1 815C4B38E070716DBBF5047484E3121ED31E34C3     0 game/core/gameinfo.gi
           135      1 7769174B103A021D6390CB2A31B758DBFFF04639     0 game/core/gameinfo_branchspecific.gi
        704554      1 9DDB65A89527745C910827E4F8C1B3D1F13BCAD0     0 game/core/maps/error.vpk
     122588644    119 B229A8209FAF326E8E5F268F988F5716EFCB33EB     0 game/core/pak01_000.vpk
     100666552     97 1CFACF6760B5F5941A6C21899DD55FD6A55935E4     0 game/core/pak01_001.vpk
     100666552     98 E07B739ED98F8C7F5F1DC75ABE19803BE51E11B0     0 game/core/pak01_002.vpk
     151001464    146 7127B96673DB85CCF60D244366A61FF70BCB62C8     0 game/core/pak01_003.vpk
     101490004    103 FF6F7CE9D6D327A80F1B8957940CED758A7D773E     0 game/core/pak01_004.vpk
      67425292     72 10BDA1CF3B6A6D36C62A99A4F3A238BC8733DEB4     0 game/core/pak01_005.vpk
         79020      1 40765C9F35873CD0FB115B372C26EACFE0250F23     0 game/core/pak01_dir.vpk
           748      1 13C94F9410AEFC60A1E478136B580D91DB8ED104     0 game/core/panorama/fonts/conf.d/20-aliases-default-win.conf
           391      1 EC1D03E686D1EAF804A2885CA9BB30B589AFE190     0 game/core/panorama/fonts/conf.d/20-fix-cantarell.conf
           949      1 2C26B938ACC5D6E61453BD4FAC868EBD04701EE6     0 game/core/panorama/fonts/conf.d/21-aliases-wine-win7-inf.conf
          3599      1 F84F362619BE8E0EC876F8D86780AED5DA9018D2     0 game/core/panorama/fonts/conf.d/30-non-latin-inf-win.conf
          9210      1 380F8817F0A22FDCC3E0403FE40161F367E1820B     0 game/core/panorama/fonts/conf.d/41-repl-os-win.conf
          1126      1 3A496422E3259AC319A01E622B8BB044DE6571CE     0 game/core/panorama/fonts/conf.d/42-repl-global.conf
          2565      1 F485A8423727429223DB8A6DFC41E5168261ACDC     0 game/core/panorama/fonts/conf.d/43-repl-tt-traced-bitmap.conf
          1218      1 95B9EBC2053B60B7504D3572CD83D1DBDE7B3AF7     0 game/core/panorama/fonts/conf.d/44-repl-corrective.conf
           967      1 B9D251BA21CA3E03053274DBADEFA6CA120A37E2     0 game/core/panorama/fonts/conf.d/50-base-rendering-win7-winxp.conf
         94923      1 5C76A41A3E19FB34CD2FDAAC005AD28A3E893A21     0 game/core/panorama/fonts/conf.d/60-group-non-tt-fonts.conf
         66644      1 C454A4A1FEA799BE9F70D99579D6046BF7A951DA     0 game/core/panorama/fonts/conf.d/60-group-tt-fonts.conf
          1144      1 9DD460DB7458EFE17AB631AFCDF1E12E26CBF66C     0 game/core/panorama/fonts/conf.d/61-group-non-tt-rendering-inf-7-xp-lin.conf
           485      1 12901C73D0BEB1FD0B1A77E87B0DC49B902A7D64     0 game/core/panorama/fonts/conf.d/61-group-tt-rendering-inf-7-xp.conf
          3921      1 8BD364FE8872BFB972D0D9C5CEC764F104F0289E     0 game/core/panorama/fonts/conf.d/62-tt-monospace-rendering.conf
          7663      1 6E6A2625232B27441BF04488F5AAD2A68685B446     0 game/core/panorama/fonts/conf.d/62-tt-traced-bitmap-rendering.conf
          1390      1 F1B4B8B1B27FDD38A355DA1A763378AAF680C96A     0 game/core/panorama/fonts/conf.d/65-override.conf
          3011      1 A5A66357E97F787E18904498889D674F5B961C26     0 game/core/panorama/fonts/conf.d/70-forced-synthetic.conf
          1119      1 28BC8788B272965E410A15ABE5516B3FE232960B     0 game/core/panorama/fonts/conf.d/80-selective-rendering-inf-7-xp.conf
          5717      1 5A37ECDDB01E54BE3F756A961C83AE289EE9F18A     0 game/core/panorama/fonts/conf.d/80-selective-rendering-inf-win-lin.conf
          1107      1 E296282DEE3F75DA3D8F58BA391D167B24E30471     0 game/core/panorama/fonts/conf.d/81-final-rendering-inf-7-xp.conf
          2270      1 B42C15C66D5CED46815C814204504D21BA0C99E3     0 game/core/panorama/fonts/conf.d/90-no-synthetic.conf
           687      1 AE14E78E708731295C7776B4003CBEFEB90353A1     0 game/core/panorama/fonts/conf.d/90-reject.conf
          1008      1 19F2B11D49148A5A2667E9C4D7173A3AB3F1C1AB     0 game/core/panorama/fonts/conf.d/95-valve.conf
          7820      1 6C1FF06349A2203E93C73ECD1D958549723F10D4     0 game/core/panorama/fonts/fonts.conf
      19270659     21 EEF7F3FDD2DCD2A11C9CA2EDD51AF5D708810D69     0 game/core/shaders_vulkan_000.vpk
         26843      1 388C256641507D10D8A1CEF2776702CAB468B328     0 game/core/shaders_vulkan_dir.vpk
          1442      1 A2483BC672009E0E748BD6BE623DE216337E77B3     0 game/core/tools/bugreporter/config.txt
           374      1 EF805B44438F9DA3F9A5F3C61A7A7C4D620CC912     0 game/core/tools/bugreporter/sdk_config.txt
          8104      1 1CC0BA1FE529E884AC0B88460C95968A37C66831     0 game/core/tools/colors/shared_colors.txt
          9807      1 D5308BFD479363D85E01DF1090B51717C32C1E95     0 game/core/tools/convarhelper/workshop/cs2_workshop.ini
          9570      1 725BD78993212200FFDA81CFDA9DDDB61D7194AE     0 game/core/tools/demoinfo2/demoinfo2.txt
          2203      1 8C553163BA0161492643D833CEF49929B4C22EA2     0 game/core/tools/entityreport/dota_colors.txt
           450      1 6B55A2CD4846304B67DF9E17F6E67A1DE2568016     0 game/core/tools/faceposer/default_channels_template.txt
